method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,5,0.8,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,10,0.7875,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,15,0.8083333333333333,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,20,0.79375,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,25,0.82,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,30,0.8166666666666667,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,35,0.8357142857142857,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,40,0.840625,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,45,0.8416666666666667,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,5,1.0,0.5238758325576782,0.02941482700407505,0.7120671517278532
naive_adapter,0.0,1,0,2,10,0.7875,0.3475821912288666,-0.05313495174050331,0.8692564799944861
naive_adapter,0.0,1,0,3,15,0.65,0.37040913105010986,0.002187890699133277,0.8514862105516504
naive_adapter,0.0,1,0,4,20,0.6125,0.4052494168281555,0.02861742675304413,0.7883325143459174
naive_adapter,0.0,1,0,5,25,0.685,0.4116436839103699,0.023902352899312973,0.7584771640226876
naive_adapter,0.0,1,0,6,30,0.48333333333333334,0.3631476163864136,0.011128352954983711,0.8287544829349096
naive_adapter,0.0,1,0,7,35,0.6714285714285714,0.3476010859012604,-0.027769623324275017,0.8071970015386171
naive_adapter,0.0,1,0,8,40,0.69375,0.3849201798439026,0.00956347119063139,0.7555806914105874
naive_adapter,0.0,1,0,9,45,0.6111111111111112,0.3801371157169342,0.02016683667898178,0.7628991379172821
naive_adapter,0.0,1,0,10,50,0.5925,0.3535382151603699,-0.014031650498509407,0.8223141968155776
mgp_only,0.0,1,0,1,5,0.975,0.4827454686164856,0.19458290934562683,0.724674633822967
mgp_only,0.0,1,0,2,10,0.775,0.4092186987400055,0.1047712042927742,0.798237702539626
mgp_only,0.0,1,0,3,15,0.7583333333333333,0.3936218023300171,0.0721704363822937,0.7790949933394312
mgp_only,0.0,1,0,4,20,0.7625,0.4002412259578705,0.059515342116355896,0.755599444824627
mgp_only,0.0,1,0,5,25,0.82,0.4056014120578766,0.05127443000674248,0.7323453199123989
mgp_only,0.0,1,0,6,30,0.775,0.3835356533527374,0.040489405393600464,0.7634585259398268
mgp_only,0.0,1,0,7,35,0.8178571428571428,0.36517465114593506,0.0012607630342245102,0.7765469770759055
mgp_only,0.0,1,0,8,40,0.84375,0.4063475728034973,0.04014416038990021,0.7168560171571794
mgp_only,0.0,1,0,9,45,0.8694444444444445,0.4097568094730377,0.034119948744773865,0.6956282005623858
mgp_only,0.0,1,0,10,50,0.8325,0.39435020089149475,0.029365601018071175,0.7489624873736381
mgc_only,4.0,1,0,1,5,1.0,0.5259032249450684,0.025415878742933273,0.711273357516368
mgc_only,4.0,1,0,2,10,0.85,0.34658893942832947,-0.05559864640235901,0.87714866998847
mgc_only,4.0,1,0,3,15,0.7083333333333334,0.37232303619384766,-0.0008849521400406957,0.8553596835547393
mgc_only,4.0,1,0,4,20,0.63125,0.4055399000644684,0.026020005345344543,0.7954021352915629
mgc_only,4.0,1,0,5,25,0.805,0.4120872914791107,0.021966390311717987,0.7649456898506021
mgc_only,4.0,1,0,6,30,0.5375,0.3565114438533783,0.004512204322963953,0.8360466355057223
mgc_only,4.0,1,0,7,35,0.6928571428571428,0.33949264883995056,-0.03486672788858414,0.8223619166254809
mgc_only,4.0,1,0,8,40,0.75,0.3743227422237396,0.0010759293800219893,0.7652864279744803
mgc_only,4.0,1,0,9,45,0.6722222222222223,0.37541326880455017,0.010473889298737049,0.7613557211383509
mgc_only,4.0,1,0,10,50,0.71,0.3596300184726715,-0.01290976069867611,0.8153285428764181
mgp_mgc,4.0,1,0,1,5,1.0,0.4843771457672119,0.1928197145462036,0.7221500927973743
mgp_mgc,4.0,1,0,2,10,0.9875,0.41072970628738403,0.10411673784255981,0.7944272469615821
mgp_mgc,4.0,1,0,3,15,0.9416666666666667,0.3927029073238373,0.07083043456077576,0.7769237913778405
mgp_mgc,4.0,1,0,4,20,0.94375,0.40172362327575684,0.05898485332727432,0.7520499481520861
mgp_mgc,4.0,1,0,5,25,0.945,0.4028409719467163,0.04904749244451523,0.7369591841858223
mgp_mgc,4.0,1,0,6,30,0.8875,0.3797481656074524,0.03956463560461998,0.7736979546991286
mgp_mgc,4.0,1,0,7,35,0.9392857142857143,0.35608306527137756,-0.005513208918273449,0.788913720273783
mgp_mgc,4.0,1,0,8,40,0.95625,0.3999539017677307,0.03506334871053696,0.7255199265054307
mgp_mgc,4.0,1,0,9,45,0.9388888888888889,0.40707680583000183,0.03341260924935341,0.7016266392926274
mgp_mgc,4.0,1,0,10,50,0.925,0.3929567039012909,0.02782045304775238,0.7499660594216154
zero_shot_clap,0.0,2,0,1,5,0.775,0.4541921615600586,0.20828139781951904,0.7702904767439461
zero_shot_clap,0.0,2,0,2,10,0.775,0.41824084520339966,0.15548895299434662,0.786751113412759
